project,config,entity_type,windows,nonempty_windows,valid_adjacent_pairs,top1_changes,top1_change_fraction,top5_membership_changes,top5_any_change_fraction,mean_top5_replacement_fraction,mean_top5_jaccard_turnover,top1_tied_windows
agentsight,main_100_50,artifact,1950,1878,1857,935,0.5035002692514808,1758,0.9466882067851373,0.444067492371208,0.5699207631356258,396
agentsight,main_100_50,module,1950,1878,1857,272,0.1464728056004308,856,0.46095853527194397,0.18757853168192423,0.20174244172628664,35
agentsight,sensitivity_100_100,artifact,975,938,921,663,0.7198697068403909,912,0.990228013029316,0.672258414766558,0.7734290712303742,202
agentsight,sensitivity_100_100,module,975,938,921,196,0.21281216069489686,610,0.6623235613463626,0.3144408251900109,0.3388785481619358,17
ActPlane,main_100_50,artifact,1323,1263,1242,600,0.4830917874396135,1083,0.8719806763285024,0.41556629092860975,0.5158516090279375,226
ActPlane,main_100_50,module,1323,1263,1242,137,0.11030595813204509,408,0.3285024154589372,0.14009661835748793,0.14767655854612377,16
ActPlane,sensitivity_100_100,artifact,662,633,615,437,0.7105691056910569,584,0.9495934959349593,0.6462059620596207,0.7253039101819589,117
ActPlane,sensitivity_100_100,module,662,633,615,90,0.14634146341463414,299,0.4861788617886179,0.23249322493224936,0.2448509485094851,9
bpf-developer-tutorial,main_100_50,artifact,32,32,31,19,0.6129032258064516,29,0.9354838709677419,0.5225806451612903,0.6323604710701486,10
bpf-developer-tutorial,main_100_50,module,32,32,31,2,0.06451612903225806,11,0.3548387096774194,0.22580645161290322,0.22580645161290322,0
bpf-developer-tutorial,sensitivity_100_100,artifact,16,16,15,13,0.8666666666666667,15,1.0,0.7866666666666667,0.852910052910053,4
bpf-developer-tutorial,sensitivity_100_100,module,16,16,15,2,0.13333333333333333,7,0.4666666666666667,0.28888888888888886,0.28888888888888886,0
eunomia.dev,main_100_50,artifact,276,218,208,108,0.5192307692307693,188,0.9038461538461539,0.478926282051282,0.5823012057387057,69
eunomia.dev,main_100_50,module,276,218,208,43,0.20673076923076922,129,0.6201923076923077,0.2592147435897436,0.27363782051282054,14
eunomia.dev,sensitivity_100_100,artifact,138,110,100,82,0.82,98,0.98,0.7308333333333333,0.8020476190476191,38
eunomia.dev,sensitivity_100_100,module,138,110,100,32,0.32,87,0.87,0.4353333333333333,0.46345238095238095,9
agentskill-observability-paper,main_100_50,artifact,18,18,17,0,0.0,14,0.8235294117647058,0.2950980392156863,0.3708683473389356,0
agentskill-observability-paper,main_100_50,module,18,18,17,0,0.0,0,0.0,0.0,0.0,0
agentskill-observability-paper,sensitivity_100_100,artifact,9,9,8,0,0.0,8,1.0,0.5375,0.6533730158730159,0
agentskill-observability-paper,sensitivity_100_100,module,9,9,8,0,0.0,0,0.0,0.0,0.0,0
academic-writing-skills,main_100_50,artifact,17,15,12,7,0.5833333333333334,9,0.75,0.2333333333333333,0.33928571428571425,3
academic-writing-skills,main_100_50,module,17,15,12,2,0.16666666666666666,7,0.5833333333333334,0.25,0.25,0
academic-writing-skills,sensitivity_100_100,artifact,9,8,6,6,1.0,6,1.0,0.5333333333333333,0.6626984126984127,2
academic-writing-skills,sensitivity_100_100,module,9,8,6,1,0.16666666666666666,5,0.8333333333333334,0.36111111111111116,0.36111111111111116,0
