pooling,config,entity_type,lag_windows,projects,origin_hot_memberships,endpoint_hot_memberships,continuous_hot_memberships,endpoint_retention_fraction,continuous_retention_fraction
membership_weighted_micro,main_100_50,artifact,1,6,15892,9043,9043,0.5690284419833879,0.5690284419833879
project_median,main_100_50,artifact,1,6,15892,9043,9043,0.5756742596576423,0.5756742596576423
membership_weighted_micro,main_100_50,artifact,2,6,15871,5311,4650,0.334635498708336,0.2929872093755907
project_median,main_100_50,artifact,2,6,15871,5311,4650,0.3434852659500095,0.30133272036042835
membership_weighted_micro,main_100_50,artifact,4,6,15826,4180,2108,0.2641223303424744,0.13319853405787943
project_median,main_100_50,artifact,4,6,15826,4180,2108,0.27459885303669007,0.1418993551117926
membership_weighted_micro,main_100_50,artifact,8,6,15740,3211,708,0.204002541296061,0.04498094027954257
project_median,main_100_50,artifact,8,6,15740,3211,708,0.21556291881634349,0.049469733710656036
membership_weighted_micro,main_100_50,module,1,6,7953,6746,6746,0.8482333710549478,0.8482333710549478
project_median,main_100_50,module,1,6,7953,6746,6746,0.8292936515464369,0.8292936515464369
membership_weighted_micro,main_100_50,module,2,6,7944,5833,5578,0.7342648539778449,0.7021651560926485
project_median,main_100_50,module,2,6,7944,5833,5578,0.7291500076887589,0.6869713978163925
membership_weighted_micro,main_100_50,module,4,6,7922,5353,4391,0.6757132037364302,0.5542792224185812
project_median,main_100_50,module,4,6,7922,5353,4391,0.653153813011633,0.5320809995691512
membership_weighted_micro,main_100_50,module,8,6,7877,4930,3229,0.6258727942109941,0.40992763742541577
project_median,main_100_50,module,8,6,7877,4930,3229,0.5887576701304307,0.3909942133555343
membership_weighted_micro,sensitivity_100_100,artifact,1,6,7927,2659,2659,0.33543585215087673,0.33543585215087673
project_median,sensitivity_100_100,artifact,1,6,7927,2659,2659,0.344008844162207,0.344008844162207
membership_weighted_micro,sensitivity_100_100,artifact,2,6,7904,2085,1319,0.2637904858299595,0.16687753036437247
project_median,sensitivity_100_100,artifact,2,6,7904,2085,1319,0.26371603179235403,0.1724760956517261
membership_weighted_micro,sensitivity_100_100,artifact,4,6,7862,1605,495,0.20414652760111932,0.06296107860595268
project_median,sensitivity_100_100,artifact,4,6,7862,1605,495,0.21363636363636362,0.05797780138671438
membership_weighted_micro,sensitivity_100_100,artifact,8,6,7784,1325,150,0.17022096608427545,0.019270298047276466
project_median,sensitivity_100_100,artifact,8,6,7784,1325,150,0.17834566240753197,0.00717327953373683
membership_weighted_micro,sensitivity_100_100,module,1,6,3961,2904,2904,0.7331481949002777,0.7331481949002777
project_median,sensitivity_100_100,module,1,6,3961,2904,2904,0.741155299353355,0.741155299353355
membership_weighted_micro,sensitivity_100_100,module,2,6,3949,2648,2350,0.6705495062041023,0.5950873638895923
project_median,sensitivity_100_100,module,2,6,3949,2648,2350,0.6377746657330532,0.560951618818979
membership_weighted_micro,sensitivity_100_100,module,4,6,3926,2436,1759,0.6204788588894549,0.4480387162506368
project_median,sensitivity_100_100,module,4,6,3926,2436,1759,0.5766483251279081,0.4005410315140984
membership_weighted_micro,sensitivity_100_100,module,8,6,3888,2268,1242,0.5833333333333334,0.3194444444444444
project_median,sensitivity_100_100,module,8,6,3888,2268,1242,0.542896531708025,0.2859236685531853
