project,variant,threshold_value,threshold_unit,observed_artifacts,multi_touch_artifacts,revived_artifacts,revived_share_all_artifacts,revived_share_multi_touch_artifacts,revival_transitions,lifecycle_episodes,mutation_bearing_episodes,median_active_mutation_span_actions,p90_active_mutation_span_actions,median_active_mutation_span_hours,p90_active_mutation_span_hours,median_gap_intervening_actions,p90_gap_intervening_actions,median_gap_elapsed_hours,p90_gap_elapsed_hours,cross_session_revivals,mutation_revivals
agentsight,action_gap_gt_100,100,intervening_tool_actions,3271,1889,1300,0.39743197798838276,0.6881948120698782,6947,10218,2303,1.0,93.80000000000018,0.0,0.25960672222222275,351.0,4975.0000000000055,1.3618952777777777,67.61791511111122,1850,204
agentsight,time_gap_gt_24h,24.0,elapsed_hours,3271,1889,533,0.16294711097523693,0.2821598729486501,1098,4369,1713,1.0,281.39999999999964,0.0,1.1028337222222222,6307.0,24682.80000000001,82.94275444444443,409.68785527777777,651,16
ActPlane,action_gap_gt_100,100,intervening_tool_actions,1725,884,664,0.3849275362318841,0.751131221719457,3517,5242,1051,1.0,139.0,0.0,0.5725697222222222,468.0,4954.800000000003,3.5709447222222224,89.55411461111112,1393,123
ActPlane,time_gap_gt_24h,24.0,elapsed_hours,1725,884,380,0.22028985507246376,0.4298642533936652,795,2520,611,2.0,1130.0,0.00046,9.879250833333334,4283.0,27055.600000000006,80.8197975,279.35951211111114,710,7
bpf-developer-tutorial,action_gap_gt_100,100,intervening_tool_actions,170,98,42,0.24705882352941178,0.42857142857142855,73,243,49,12.0,108.80000000000008,0.13233083333333334,11.81962561111111,271.0,661.1999999999999,12.858602777777778,3217.3869198888888,68,7
bpf-developer-tutorial,time_gap_gt_24h,24.0,elapsed_hours,170,98,21,0.12352941176470589,0.21428571428571427,26,196,34,15.5,816.7999999999998,0.28668027777777777,24.791949416666657,518.5,951.5,682.8800630555556,3234.8340340277778,26,5
eunomia.dev,action_gap_gt_100,100,intervening_tool_actions,368,245,175,0.47554347826086957,0.7142857142857143,809,1177,184,1.0,108.30000000000032,0.0,0.5299165555555558,448.0,2352.4000000000005,15.471715277777777,1059.6983485,482,9
eunomia.dev,time_gap_gt_24h,24.0,elapsed_hours,368,245,145,0.39402173913043476,0.5918367346938775,351,719,151,1.0,284.0,0.0,1.4379322222222222,1120.0,3681.0,267.81491083333333,1800.3807944444445,344,2
agentskill-observability-paper,action_gap_gt_100,100,intervening_tool_actions,24,4,2,0.08333333333333333,0.5,3,27,22,1.0,100.00000000000023,0.0,0.25543825000000064,105.0,120.2,0.4259363888888889,0.5433557222222222,1,0
agentskill-observability-paper,time_gap_gt_24h,24.0,elapsed_hours,24,4,0,0.0,0.0,0,24,21,1.0,238.0,0.0,0.2838202777777778,,,,,0,0
academic-writing-skills,action_gap_gt_100,100,intervening_tool_actions,118,30,13,0.11016949152542373,0.43333333333333335,16,134,32,5.5,181.40000000000015,0.046836249999999996,60.172013444444445,167.5,360.5,41.62869388888889,635.4158344444445,14,2
academic-writing-skills,time_gap_gt_24h,24.0,elapsed_hours,118,30,18,0.15254237288135594,0.6,23,141,37,3.0,182.39999999999998,0.005334166666666667,16.70311866666667,39.0,343.8,60.19645416666667,605.2984504444445,23,1
