variant,description,session_tail_support,prompt_tail_support,llm_tail_support,regenerate_min_support,split_min_support,split_top_share_max,split_second_share_min,generic_tag_count,tag_count,total_support,review_required_tags,review_required_support,review_required_support_pct,long_tail_tags,long_tail_support,long_tail_support_pct,changed_action_tags_vs_baseline,changed_review_gate_tags_vs_baseline,baseline_head_tags,baseline_heads_still_head,baseline_head_stability_pct,baseline_heads_to_review,action_auto_canonicalize_existing,action_review_merge,action_contextual_split_candidate,action_regenerate_candidate,action_keep_rare_distinct,action_keep_head
baseline,R196 default thresholds and generic/noisy vocabulary.,100,100,10,3,250,0.45,0.15,20,1811,482398,323,9293,1.926,1575,8422,1.746,0,0,184,184,100.0,0,231,114,2,39,1241,184
lower_tail_threshold,More tags qualify as supported heads; fewer rows are long-tail by support.,50,50,5,3,250,0.45,0.15,20,1811,482398,323,9293,1.926,1449,4442,0.921,89,0,184,184,100.0,0,231,114,2,39,1152,273
higher_tail_threshold,More tags qualify as long-tail; tests review-required row/support stability.,200,200,20,3,250,0.45,0.15,20,1811,482398,323,9293,1.926,1659,14618,3.03,64,0,184,120,65.217,0,231,114,2,39,1305,120
aggressive_split,Lower contextual-split support and allow broader multi-peak profiles.,100,100,10,3,100,0.6,0.1,20,1811,482398,323,9293,1.926,1575,8422,1.746,4,0,184,184,100.0,0,231,114,6,35,1241,184
conservative_split,Higher contextual-split support and stricter second-peak requirement.,100,100,10,3,500,0.35,0.2,20,1811,482398,323,9293,1.926,1575,8422,1.746,1,0,184,184,100.0,0,231,114,1,40,1241,184
narrow_generic_vocab,Treat project/source identifiers as less automatically generic.,100,100,10,3,250,0.45,0.15,18,1811,482398,323,9293,1.926,1575,8422,1.746,0,0,184,184,100.0,0,231,114,2,39,1241,184
expanded_generic_vocab,Route more known noisy model-output words to review/regeneration.,100,100,10,3,250,0.45,0.15,24,1811,482398,326,9314,1.931,1575,8422,1.746,3,3,184,184,100.0,0,231,114,2,42,1238,184
