default_policy,baseline_policy,work_budget,wins,ties,losses,median_recall_delta,mean_recall_delta
operation_stack:query_aware,flat:width,0.01,2,4,0,0.0,0.0039
operation_stack:query_aware,flat:width,0.05,5,1,0,0.0719,0.0906
operation_stack:query_aware,flat:width,0.1,6,0,0,0.1355,0.1664
operation_stack:query_aware,flat:width,0.2,6,0,0,0.2763,0.2994
operation_stack:query_aware,flat:width,0.3,6,0,0,0.39,0.451
operation_stack:query_aware,flat:width,0.5,6,0,0,0.5806,0.6113
operation_stack:query_aware,flat:width,1.0,0,0,6,-0.4194,-0.3688
operation_stack:query_aware,fixed_session:query_aware,0.01,1,2,3,-0.0034,-0.0113
operation_stack:query_aware,fixed_session:query_aware,0.05,4,1,1,0.0128,0.007
operation_stack:query_aware,fixed_session:query_aware,0.1,5,0,1,0.0086,0.0122
operation_stack:query_aware,fixed_session:query_aware,0.2,5,0,1,0.0316,0.0321
operation_stack:query_aware,fixed_session:query_aware,0.3,4,0,2,0.0276,0.0655
operation_stack:query_aware,fixed_session:query_aware,0.5,3,0,3,-0.0111,-0.0224
operation_stack:query_aware,fixed_session:query_aware,1.0,3,0,3,0.0031,-0.0026
operation_stack:query_aware,dataset_native:query_aware,0.01,2,4,0,0.0,0.0031
operation_stack:query_aware,dataset_native:query_aware,0.05,4,1,1,0.0319,0.0634
operation_stack:query_aware,dataset_native:query_aware,0.1,4,0,2,0.0106,0.0076
operation_stack:query_aware,dataset_native:query_aware,0.2,3,0,3,0.0132,-0.0291
operation_stack:query_aware,dataset_native:query_aware,0.3,5,0,1,0.0293,0.0582
operation_stack:query_aware,dataset_native:query_aware,0.5,4,0,2,0.0727,0.1052
operation_stack:query_aware,dataset_native:query_aware,1.0,1,0,5,-0.1953,-0.2257
operation_stack:query_aware,raw_action_stack:query_aware,0.01,1,4,1,0.0,0.002
operation_stack:query_aware,raw_action_stack:query_aware,0.05,5,0,1,0.0206,0.0037
operation_stack:query_aware,raw_action_stack:query_aware,0.1,3,0,3,-0.0126,-0.0294
operation_stack:query_aware,raw_action_stack:query_aware,0.2,3,0,3,0.0029,0.0064
operation_stack:query_aware,raw_action_stack:query_aware,0.3,4,1,1,0.1229,0.1069
operation_stack:query_aware,raw_action_stack:query_aware,0.5,4,0,2,0.2169,0.1402
operation_stack:query_aware,raw_action_stack:query_aware,1.0,2,0,4,-0.1789,-0.1224
operation_stack:query_aware,operation_stack:width,0.01,2,4,0,0.0,0.0039
operation_stack:query_aware,operation_stack:width,0.05,4,0,2,0.0155,0.0275
operation_stack:query_aware,operation_stack:width,0.1,3,0,3,0.0068,0.0601
operation_stack:query_aware,operation_stack:width,0.2,5,0,1,0.0465,0.0564
operation_stack:query_aware,operation_stack:width,0.3,4,0,2,0.0276,0.0913
operation_stack:query_aware,operation_stack:width,0.5,3,0,3,-0.0055,0.1245
operation_stack:query_aware,operation_stack:width,1.0,2,0,4,-0.0779,0.001
