default_policy,baseline_policy,metric,direction,wins,ties,losses,win_rate,median_delta_default_minus_baseline,mean_delta_default_minus_baseline,median_ratio_default_over_baseline
operation_stack:query_aware,flat:width,average_precision,higher,6,0,0,1.0,0.0779,0.1219,1.355
operation_stack:query_aware,flat:width,top5_recall,higher,0,0,6,0.0,-0.812,-0.7608,0.188
operation_stack:query_aware,flat:width,top5_f1,higher,1,0,5,0.1667,-0.0886,-0.0788,0.5578
operation_stack:query_aware,flat:width,top5_work,lower,6,0,0,1.0,-0.9063,-0.8168,0.0937
operation_stack:query_aware,flat:width,budget30_recall,higher,6,0,0,1.0,0.39,0.451,
operation_stack:query_aware,flat:width,work_to_first_positive,lower,6,0,0,1.0,-0.9622,-0.9303,0.0378
operation_stack:query_aware,flat:width,groups,lower,0,0,6,0.0,156.5,156.3333,157.5
operation_stack:query_aware,flat:width,work_to_50pct_recall,lower,6,0,0,1.0,-0.5686,-0.5622,0.4314
operation_stack:query_aware,fixed_session:query_aware,average_precision,higher,3,0,3,0.5,-0.0002,-0.0099,0.9896
operation_stack:query_aware,fixed_session:query_aware,top5_recall,higher,5,0,1,0.8333,0.159,0.1801,2.7333
operation_stack:query_aware,fixed_session:query_aware,top5_f1,higher,5,0,1,0.8333,0.1669,0.1702,2.069
operation_stack:query_aware,fixed_session:query_aware,top5_work,lower,2,0,4,0.3333,0.0135,0.1086,1.7172
operation_stack:query_aware,fixed_session:query_aware,budget30_recall,higher,4,0,2,0.6667,0.0276,0.0655,1.0702
operation_stack:query_aware,fixed_session:query_aware,work_to_first_positive,lower,2,0,4,0.3333,0.0056,0.0031,3.4615
operation_stack:query_aware,fixed_session:query_aware,groups,lower,4,0,2,0.6667,-127.5,-178.0,0.5543
operation_stack:query_aware,fixed_session:query_aware,work_to_50pct_recall,lower,1,0,5,0.1667,0.0429,0.0611,1.1646
operation_stack:query_aware,dataset_native:query_aware,average_precision,higher,4,0,2,0.6667,0.0096,-0.0437,1.1067
operation_stack:query_aware,dataset_native:query_aware,top5_recall,higher,1,0,5,0.1667,-0.3474,-0.3904,0.474
operation_stack:query_aware,dataset_native:query_aware,top5_f1,higher,2,0,4,0.3333,-0.0415,-0.046,0.8615
operation_stack:query_aware,dataset_native:query_aware,top5_work,lower,6,0,0,1.0,-0.4033,-0.4424,0.2013
operation_stack:query_aware,dataset_native:query_aware,budget30_recall,higher,5,0,1,0.8333,0.0293,0.0582,1.0702
operation_stack:query_aware,dataset_native:query_aware,work_to_first_positive,lower,3,0,3,0.5,-0.0007,-0.0707,0.6302
operation_stack:query_aware,dataset_native:query_aware,groups,lower,0,0,6,0.0,150.0,133.1667,10.0
operation_stack:query_aware,dataset_native:query_aware,work_to_50pct_recall,lower,4,0,2,0.6667,-0.0255,-0.0045,0.9428
operation_stack:query_aware,raw_action_stack:query_aware,average_precision,higher,5,0,1,0.8333,0.0142,0.0202,1.1216
operation_stack:query_aware,raw_action_stack:query_aware,top5_recall,higher,1,0,5,0.1667,-0.0766,-0.0119,0.4421
operation_stack:query_aware,raw_action_stack:query_aware,top5_f1,higher,2,0,4,0.3333,-0.0089,0.0455,0.6844
operation_stack:query_aware,raw_action_stack:query_aware,top5_work,lower,5,0,1,0.8333,-0.0841,-0.01,0.4094
operation_stack:query_aware,raw_action_stack:query_aware,budget30_recall,higher,4,1,1,0.6667,0.1229,0.1069,1.4467
operation_stack:query_aware,raw_action_stack:query_aware,work_to_first_positive,lower,5,0,1,0.8333,-0.025,-0.0039,0.4123
operation_stack:query_aware,raw_action_stack:query_aware,groups,lower,0,0,6,0.0,132.0,135.8333,6.162
operation_stack:query_aware,raw_action_stack:query_aware,work_to_50pct_recall,lower,6,0,0,1.0,-0.3451,-0.3272,0.5681
operation_stack:query_aware,operation_stack:width,average_precision,higher,6,0,0,1.0,0.0258,0.0932,1.1188
operation_stack:query_aware,operation_stack:width,top5_recall,higher,1,1,4,0.1667,-0.2639,-0.1927,0.1716
operation_stack:query_aware,operation_stack:width,top5_f1,higher,2,0,4,0.3333,-0.0755,-0.0045,0.3678
operation_stack:query_aware,operation_stack:width,top5_work,lower,6,0,0,1.0,-0.3038,-0.3101,0.1563
operation_stack:query_aware,operation_stack:width,budget30_recall,higher,5,0,1,0.8333,0.0599,0.1392,1.1856
operation_stack:query_aware,operation_stack:width,work_to_first_positive,lower,5,1,0,0.8333,-0.0855,-0.1566,0.1834
operation_stack:query_aware,operation_stack:width,groups,lower,0,6,0,0.0,0.0,0.0,1.0
operation_stack:query_aware,operation_stack:width,work_to_50pct_recall,lower,3,0,3,0.5,-0.0028,-0.0725,0.9993
