policy,work_budget,tasks,tasks_with_positive_recall,median_recall,mean_recall,median_actual_work,mean_actual_work
dataset_native:query_aware,0.01,6,2,0.0,0.0008,0.0,0.0016
dataset_native:query_aware,0.05,6,3,0.0223,0.0272,0.0191,0.023
dataset_native:query_aware,0.1,6,5,0.103,0.1588,0.0977,0.079
dataset_native:query_aware,0.2,6,5,0.2472,0.3285,0.1929,0.1612
dataset_native:query_aware,0.3,6,5,0.3377,0.3928,0.279,0.2241
dataset_native:query_aware,0.5,6,5,0.5116,0.5061,0.4289,0.3408
dataset_native:query_aware,1.0,6,6,1.0,0.8569,0.5182,0.6206
fixed_session:query_aware,0.01,6,4,0.012,0.0152,0.0053,0.0045
fixed_session:query_aware,0.05,6,5,0.0756,0.0836,0.0499,0.047
fixed_session:query_aware,0.1,6,5,0.1457,0.1542,0.0998,0.0899
fixed_session:query_aware,0.2,6,5,0.2422,0.2673,0.1999,0.1733
fixed_session:query_aware,0.3,6,5,0.3559,0.3855,0.2999,0.2567
fixed_session:query_aware,0.5,6,6,0.5728,0.6338,0.4999,0.4823
fixed_session:query_aware,1.0,6,6,0.5728,0.6338,0.4999,0.4823
flat:width,0.01,6,0,0.0,0.0,0.0,0.0
flat:width,0.05,6,0,0.0,0.0,0.0,0.0
flat:width,0.1,6,0,0.0,0.0,0.0,0.0
flat:width,0.2,6,0,0.0,0.0,0.0,0.0
flat:width,0.3,6,0,0.0,0.0,0.0,0.0
flat:width,0.5,6,0,0.0,0.0,0.0,0.0
flat:width,1.0,6,6,1.0,1.0,1.0,1.0
operation_stack:query_aware,0.01,6,2,0.0,0.0039,0.0,0.0019
operation_stack:query_aware,0.05,6,5,0.0719,0.0906,0.0499,0.0497
operation_stack:query_aware,0.1,6,6,0.1355,0.1664,0.0999,0.0995
operation_stack:query_aware,0.2,6,6,0.2763,0.2994,0.2,0.1971
operation_stack:query_aware,0.3,6,6,0.39,0.451,0.2999,0.2996
operation_stack:query_aware,0.5,6,6,0.5806,0.6113,0.4996,0.4664
operation_stack:query_aware,1.0,6,6,0.5806,0.6312,0.4999,0.4863
operation_stack:width,0.01,6,0,0.0,0.0,0.0,0.0
operation_stack:width,0.05,6,5,0.0585,0.0631,0.0499,0.0497
operation_stack:width,0.1,6,6,0.1271,0.1064,0.0999,0.0913
operation_stack:width,0.2,6,6,0.2414,0.243,0.1994,0.1829
operation_stack:width,0.3,6,6,0.3485,0.3597,0.2999,0.283
operation_stack:width,0.5,6,6,0.5608,0.4868,0.4996,0.4598
operation_stack:width,1.0,6,6,0.6469,0.6301,0.6713,0.6616
raw_action_stack:query_aware,0.01,6,1,0.0,0.0019,0.0,0.0016
raw_action_stack:query_aware,0.05,6,6,0.057,0.0868,0.0489,0.0485
raw_action_stack:query_aware,0.1,6,6,0.1101,0.1959,0.0967,0.0962
raw_action_stack:query_aware,0.2,6,6,0.2624,0.293,0.1975,0.164
raw_action_stack:query_aware,0.3,6,6,0.3325,0.3442,0.2943,0.2767
raw_action_stack:query_aware,0.5,6,6,0.3801,0.4711,0.3954,0.4125
raw_action_stack:query_aware,1.0,6,6,0.9718,0.7536,0.6819,0.6754
