task,dataset,query_family,policy,work_budget,best_budget,best_work,best_recall,best_precision,best_f1,best_lift,groups_inspected
satraj_unsafe,satraj-os-safety,safety,operation_stack:width,0.05,budget5,0.0499,0.0,0.0,0.0,0.0,3
satraj_unsafe,satraj-os-safety,safety,operation_stack:width,0.1,budget10,0.0999,0.008,0.0117,0.0095,0.0805,2
satraj_unsafe,satraj-os-safety,safety,operation_stack:width,0.2,budget10,0.0999,0.008,0.0117,0.0095,0.0805,2
satraj_unsafe,satraj-os-safety,safety,operation_stack:width,0.3,budget30,0.2999,0.1125,0.0545,0.0734,0.3753,5
satraj_unsafe,satraj-os-safety,safety,operation_stack:width,0.5,budget30,0.2999,0.1125,0.0545,0.0734,0.3753,5
satraj_unsafe,satraj-os-safety,safety,operation_stack:width,1.0,top10,0.6532,0.1576,0.035,0.0573,0.2412,10
satraj_unsafe,satraj-os-safety,safety,operation_stack:query_aware,0.01,,0.0,0.0,0.0,0.0,0.0,0
satraj_unsafe,satraj-os-safety,safety,operation_stack:query_aware,0.05,budget5,0.0499,0.2637,0.7664,0.3923,5.2795,12
satraj_unsafe,satraj-os-safety,safety,operation_stack:query_aware,0.1,budget10,0.0999,0.381,0.5537,0.4514,3.8147,14
satraj_unsafe,satraj-os-safety,safety,operation_stack:query_aware,0.2,budget20,0.2,0.4695,0.3407,0.3949,2.3473,39
satraj_unsafe,satraj-os-safety,safety,operation_stack:query_aware,0.3,budget30,0.2999,0.8376,0.4054,0.5464,2.7932,60
satraj_unsafe,satraj-os-safety,safety,operation_stack:query_aware,0.5,budget30,0.2999,0.8376,0.4054,0.5464,2.7932,60
satraj_unsafe,satraj-os-safety,safety,operation_stack:query_aware,1.0,budget30,0.2999,0.8376,0.4054,0.5464,2.7932,60
