task,dataset,query_family,policy,average_precision,ndcg,top5_recall,top5_precision,top5_f1,top5_work,budget30_recall,budget30_f1,budget30_work,work_to_first_positive,groups,positive_groups,groups_to_50pct_recall,work_to_50pct_recall
agentnet_incorrect_step,agentnet,step-quality,flat:width,0.0594,1.0,1.0,0.0594,0.1121,1.0,0.0,0.0,0.0,1.0,1,1,1,1.0
agentnet_incorrect_step,agentnet,step-quality,fixed_session:query_aware,0.0799,0.7929,0.0126,0.1341,0.023,0.0056,0.4062,0.1342,0.3,0.0017,835,502,326,0.3876
agentnet_incorrect_step,agentnet,step-quality,dataset_native:query_aware,0.0797,0.5766,0.0023,0.0149,0.004,0.0091,0.4199,0.1388,0.2999,0.0056,65,54,34,0.4202
agentnet_incorrect_step,agentnet,step-quality,raw_action_stack:query_aware,0.066,0.2841,0.0114,0.0521,0.0188,0.013,0.2838,0.0959,0.2922,0.0041,25,12,21,0.9392
agentnet_incorrect_step,agentnet,step-quality,operation_stack:width,0.0687,0.9578,0.3284,0.0658,0.1096,0.2965,0.3307,0.1093,0.3,0.0821,289,101,10,0.4588
agentnet_incorrect_step,agentnet,step-quality,operation_stack:query_aware,0.0886,0.3594,0.0034,0.1429,0.0067,0.0014,0.4382,0.1448,0.3,0.0007,289,101,186,0.3857
agentnet_redundant_step,agentnet,step-quality,flat:width,0.0728,1.0,1.0,0.0728,0.1357,1.0,0.0,0.0,0.0,1.0,1,1,1,1.0
agentnet_redundant_step,agentnet,step-quality,fixed_session:query_aware,0.0788,0.8341,0.0123,0.1034,0.022,0.0086,0.3302,0.129,0.3,0.0013,549,438,272,0.4753
agentnet_redundant_step,agentnet,step-quality,dataset_native:query_aware,0.0772,0.6261,0.0423,0.0847,0.0564,0.0364,0.3302,0.1291,0.2996,0.0016,57,46,21,0.5108
agentnet_redundant_step,agentnet,step-quality,raw_action_stack:query_aware,0.0817,0.3405,0.0859,0.0759,0.0806,0.0824,0.2619,0.1033,0.2965,0.0377,25,13,12,0.8278
agentnet_redundant_step,agentnet,step-quality,operation_stack:width,0.0863,0.9778,0.3588,0.0812,0.1325,0.3215,0.3438,0.1343,0.3,0.0948,260,93,8,0.4269
agentnet_redundant_step,agentnet,step-quality,operation_stack:query_aware,0.0875,0.4055,0.0177,0.1444,0.0316,0.0089,0.3533,0.138,0.3,0.0051,260,93,157,0.4943
agentreward_looping,agent-reward-bench,failure-looping,flat:width,0.6914,1.0,1.0,0.6914,0.8175,1.0,0.0,0.0,0.0,1.0,1,1,1,1.0
agentreward_looping,agent-reward-bench,failure-looping,fixed_session:query_aware,0.8672,0.8528,0.2381,0.8,0.367,0.2058,0.3611,0.5042,0.299,0.0412,29,17,10,0.3992
agentreward_looping,agent-reward-bench,failure-looping,dataset_native:query_aware,0.7989,0.8114,1.0,0.6914,0.8175,1.0,0.3452,0.5007,0.262,0.1824,4,4,3,0.4636
agentreward_looping,agent-reward-bench,failure-looping,raw_action_stack:query_aware,0.7512,0.4385,0.1071,0.7105,0.1862,0.1043,0.2024,0.3031,0.2318,0.037,14,11,8,0.7737
agentreward_looping,agent-reward-bench,failure-looping,operation_stack:width,0.7653,0.9553,0.6508,0.7162,0.6819,0.6283,0.3532,0.4931,0.299,0.2058,40,21,4,0.5638
agentreward_looping,agent-reward-bench,failure-looping,operation_stack:query_aware,0.8808,0.9687,0.6508,0.9111,0.7593,0.4938,0.3988,0.5568,0.299,0.2058,40,21,3,0.417
agentreward_side_effect,agent-reward-bench,failure-side-effect,flat:width,0.2771,1.0,1.0,0.2771,0.4339,1.0,0.0,0.0,0.0,1.0,1,1,1,1.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,fixed_session:query_aware,0.4606,0.3696,0.0,0.0,0.0,0.1948,0.0,0.0,0.299,0.3471,29,2,7,0.3471
agentreward_side_effect,agent-reward-bench,failure-side-effect,dataset_native:query_aware,0.5166,1.0,1.0,0.2771,0.4339,1.0,0.0,0.0,0.262,0.5364,4,1,1,0.5364
agentreward_side_effect,agent-reward-bench,failure-side-effect,raw_action_stack:query_aware,0.3273,0.5639,0.3812,0.44,0.4085,0.2401,0.3812,0.3684,0.2963,0.1495,14,6,6,0.8587
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack:width,0.3661,0.8264,0.6634,0.2926,0.4061,0.6283,0.3069,0.2952,0.299,0.2058,40,9,2,0.3525
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack:query_aware,0.3979,0.4445,0.1139,0.217,0.1494,0.1454,0.3812,0.3667,0.299,0.0645,40,9,17,0.4458
osworld_group_start,osworld-human,human-boundary,flat:width,0.1905,1.0,1.0,0.1905,0.32,1.0,0.0,0.0,0.0,1.0,1,1,1,1.0
osworld_group_start,osworld-human,human-boundary,fixed_session:query_aware,0.2345,0.5246,0.034,0.3768,0.0624,0.0172,0.3508,0.2725,0.2999,0.005,320,244,107,0.4894
osworld_group_start,osworld-human,human-boundary,dataset_native:query_aware,0.1977,0.6776,0.733,0.1973,0.3109,0.7078,0.2618,0.205,0.2959,0.0184,10,10,2,0.6243
osworld_group_start,osworld-human,human-boundary,raw_action_stack:query_aware,0.2214,0.7821,0.4725,0.1725,0.2527,0.5218,0.4149,0.3223,0.2999,0.1847,27,15,7,0.8616
osworld_group_start,osworld-human,human-boundary,operation_stack:width,0.2217,0.9175,0.5903,0.1984,0.297,0.5667,0.4241,0.3294,0.2999,0.1331,173,74,4,0.5213
osworld_group_start,osworld-human,human-boundary,operation_stack:query_aware,0.2254,0.7954,0.3874,0.1812,0.2469,0.4074,0.2971,0.2308,0.2999,0.1311,173,74,62,0.6554
satraj_unsafe,satraj-os-safety,safety,flat:width,0.1452,1.0,1.0,0.1452,0.2535,1.0,0.0,0.0,0.0,1.0,1,1,1,1.0
satraj_unsafe,satraj-os-safety,safety,fixed_session:query_aware,0.5059,0.7354,0.0579,0.5455,0.1047,0.0154,0.865,0.5642,0.2999,0.0037,250,88,56,0.1615
satraj_unsafe,satraj-os-safety,safety,dataset_native:query_aware,0.7598,1.0,1.0,0.1452,0.2535,1.0,1.0,0.873,0.1874,0.098,5,2,1,0.098
satraj_unsafe,satraj-os-safety,safety,raw_action_stack:query_aware,0.5988,0.681,0.4486,0.3302,0.3804,0.1972,0.5209,0.3398,0.2999,0.0285,24,12,8,0.3286
satraj_unsafe,satraj-os-safety,safety,operation_stack:width,0.1003,0.5007,0.0,0.0,0.0,0.5181,0.1125,0.0734,0.2999,0.6366,142,31,16,0.7379
satraj_unsafe,satraj-os-safety,safety,operation_stack:query_aware,0.4875,0.653,0.2621,0.9056,0.4065,0.042,0.8376,0.5464,0.2999,0.0112,142,31,38,0.2282
