baseline,metric,direction,operation_stack_wins,operation_stack_losses,ties,median_delta
flat:width,top5_recall,higher,0,6,0,-0.81204
flat:width,top5_precision,higher,4,2,0,0.077553
flat:width,top5_lift,higher,4,2,0,0.650826
flat:width,top5_work,lower,6,0,0,-0.906294
flat:width,work_to_first_positive,lower,6,0,0,-0.962163
flat:width,groups,lower,0,6,0,156.5
fixed_session:query_aware,top5_recall,higher,5,1,0,0.159021
fixed_session:query_aware,top5_precision,higher,5,1,0,0.076054
fixed_session:query_aware,top5_lift,higher,5,1,0,0.361877
fixed_session:query_aware,top5_work,lower,2,4,0,0.013451
fixed_session:query_aware,work_to_first_positive,lower,2,4,0,0.005621
fixed_session:query_aware,groups,lower,4,2,0,-127.5
dataset_native:query_aware,top5_recall,higher,1,5,0,-0.347378
dataset_native:query_aware,top5_precision,higher,4,2,0,0.093838
dataset_native:query_aware,top5_lift,higher,4,2,0,0.569197
dataset_native:query_aware,top5_work,lower,6,0,0,-0.403298
dataset_native:query_aware,work_to_first_positive,lower,3,3,0,-0.000708
dataset_native:query_aware,groups,lower,0,6,0,150.0
raw_action_stack:query_aware,top5_recall,higher,1,5,0,-0.076646
raw_action_stack:query_aware,top5_precision,higher,5,1,0,0.079657
raw_action_stack:query_aware,top5_lift,higher,5,1,0,0.615735
raw_action_stack:query_aware,top5_work,lower,5,1,0,-0.084079
raw_action_stack:query_aware,work_to_first_positive,lower,5,1,0,-0.024975
raw_action_stack:query_aware,groups,lower,0,6,0,132.0
