project,observed_artifacts,mutated_artifacts,zero_episode_artifacts,mutation_episodes,raw_mutation_rows,repeat_episodes,cross_session_repeat_episodes,repeat_rename_episodes,repeat_delete_episodes,repeat_episode_fraction,top_10pct_episode_share,max_episode_load,observation_span_days,birth_confirmed_create,birth_left_censored_existing,birth_unknown_create_status,birth_unknown_rename_source,qualified_curve
agentsight,3271,1640,1631,6540,6568,4900,341,3,44,0.7492354740061162,0.6847094801223241,1085,51.036879525462965,1068,2202,0,1,True
ActPlane,1725,469,1256,5751,5765,5282,321,12,11,0.9184489653973222,0.7572422187445662,558,55.46900087962963,243,1482,0,0,True
bpf-developer-tutorial,170,32,138,283,283,251,36,0,0,0.8869257950530035,0.4204946996466431,39,191.78686385416665,18,152,0,0,True
eunomia.dev,368,131,237,743,744,612,29,0,7,0.8236877523553163,0.7115746971736205,165,61.067930902777775,39,329,0,0,True
agentskill-observability-paper,24,21,3,196,196,175,23,0,0,0.8928571428571429,0.8668367346938776,151,0.13987699074074075,18,6,0,0,True
academic-writing-skills,118,25,93,253,253,228,17,0,1,0.9011857707509882,0.5869565217391305,68,32.44783724537037,1,117,0,0,True
